Source,Target,CoAuthored
"Haddow, B","Sennrich, R",2
"Mishra, G","Wang, XZ",2
"Serban, IV","Pineau, J",2
"Robinson, K","Devlin, J",2
"Fang, W","Yu, ZF",2
"Yih, WT","Karpukhin, V",2
"Fang, W","Chen, YQ",2
"Fang, W","Masquelier, T",2
"Fang, W","Huang, TJ",2
"Petrov, S","Lee, K",2
"Yu, ZF","Fang, W",2
"Majumder, N","Hazarika, D",2
"Yu, ZF","Chen, YQ",2
"Robinson, K","Chung, HW",2
"Yu, ZF","Masquelier, T",2
"Robinson, K","Roberts, A",2
"Robinson, K","Mishra, G",2
"Yu, ZF","Huang, TJ",2
"Robinson, K","Narang, S",2
"Robinson, K","Wei, J",2
"Robinson, K","Chowdhery, A",2
"Majumder, N","Mihalcea, R",2
"Majumder, N","Gelbukh, A",2
"Chen, YQ","Fang, W",2
"Majumder, N","Cambria, E",2
"Chen, YQ","Yu, ZF",2
"Chen, YQ","Masquelier, T",2
"Chen, YQ","Huang, TJ",2
"Huang, TJ","Fang, W",2
"Huang, TJ","Yu, ZF",2
"Huang, TJ","Chen, YQ",2
"Huang, TJ","Masquelier, T",2
"Soltau, H","Saon, G",2
"Wu, YH","Pang, RM",2
"Petrov, S","Dai, AM",2
"Petrov, S","Le, Q",2
"Petrov, S","Chowdhery, A",2
"Le, QV","Yang, ZL",2
"Askell, A","Agarwal, S",2
"Senior, A","Chung, JS",2
"Robinson, K","Wang, XZ",2
"Senior, A","Vinyals, O",2
"Yang, YM","Yang, ZL",2
"Senior, A","Zisserman, A",2
"Serban, IV","Courville, A",2
"Robinson, K","Pellat, M",2
"Mishra, G","Wei, J",2
"Qin, T","Song, KT",2
"Qin, T","Lu, JF",2
"Serban, IV","Bengio, Y",2
"Mishra, G","Dean, J",2
"Mishra, G","Petrov, S",2
"Graves, A","Jaitly, N",2
"Serban, IV","Sordoni, A",2
"Robinson, K","Zoph, B",2
"Wu, YH","Jia, Y",2
"Petrov, S","Chung, HW",2
"Petrov, S","Roberts, A",2
"Petrov, S","Mishra, G",2
"Petrov, S","Narang, S",2
"Le, QV","Salakhutdinov, R",2
"Wu, YH","Clark, R",2
"Yih, WT","Zettlemoyer, L",2
"Le, QV","Carbonell, J",2
"Le, QV","Yang, YM",2
"Le, QV","Dai, ZH",2
"Yih, WT","Lewis, P",2
"Dai, ZH","Le, QV",2
"Karita, S","Soplin, NEY",2
"Yang, YM","Dai, ZH",2
"Chowdhery, A","Roberts, A",2
"Chen, NX","Watanabe, S",2
"Hellmann, S","Lehmann, J",2
"Wang, YM","Povey, D",2
"Wang, YM","Khudanpur, S",2
"Jia, Y","Weiss, RJ",2
"Chowdhery, A","Chung, HW",2
"Hori, T","Soplin, NEY",2
"Pun, T","Pantic, M",2
"Chowdhery, A","Mishra, G",2
"Ott, M","Auli, M",2
"Hori, T","Chen, NX",2
"Jia, Y","Chen, ZF",2
"Chowdhery, A","Devlin, J",2
"Ott, M","Grangier, D",2
"Chen, NX","Hori, T",2
"Chen, NX","Karita, S",2
"Chen, NX","Hayashi, T",2
"Chen, NX","Soplin, NEY",2
"Hori, T","Hayashi, T",2
"Hellmann, S","Auer, S",2
"Hellmann, S","Bizer, C",2
"Sun, ZQ","Hu, W",2
"Hori, T","Karita, S",2
"Hu, W","Sun, ZQ",2
"Constant, N","Al-Rfou, R",2
"Hori, T","Watanabe, S",2
"Chowdhery, A","Robinson, K",2
"Jia, Y","Zhang, Y",2
"Zhou, D","Petrov, S",2
"Zhou, D","Dean, J",2
"Chowdhery, A","Zhou, D",2
"Chowdhery, A","Narang, S",2
"Soplin, NEY","Chen, NX",2
"Yang, YM","Carbonell, J",2
"Hayashi, T","Watanabe, S",2
"Karita, S","Hayashi, T",2
